company,priceHour,priceDay,priceWeek,priceMonth
A,139.75,142.07,143.64,1
AA,58.48,59.97,60.77,1
AAL,16.58,17.38,18.58,1
AAP,228.13,235.37,238.69,1
AAPL,165.05,168.0,172.09,1
ABBV,132.81,136.05,135.31,1
ABC,132.63,132.91,135.23,1
ABMD,305.16,303.31,299.62,1
ABNB,157.85,157.06,162.08,1
ABRD,1.0,1.0,1.0,1
ABT,125.71,126.65,127.93,1
ACAD,21.64,21.97,22.42,1
ACKO,1.0,1.0,1.0,1
ADBE,510.95,521.47,517.89,1
ADI,161.44,165.23,170.35,1
ADM,69.15,71.4,71.43,1
ADP,219.25,226.75,228.47,1
ADSK,246.64,257.48,255.47,1
AEE,88.35,87.87,88.27,1
AEP,90.83,90.56,90.9,1
AES,23.33,23.09,22.88,1
AFKS,1.0,1.0,1.0,1
AFL,61.61,63.26,63.57,1
AFLT,1.0,1.0,1.0,1
AIG,57.98,59.3,61.62,1
AIZ,148.77,152.94,153.95,1
AJG,155.37,155.71,157.0,1
AKAM,114.33,114.07,112.43,1
AKRN,1.0,1.0,1.0,1
ALB,217.12,222.64,232.39,1
ALGN,477.64,502.6,521.45,1
ALK,53.34,54.68,55.69,1
ALL,120.57,122.04,123.51,1
ALNU,1.0,1.0,1.0,1
ALRS,28.83,28.39,29.59,1
AMAT,139.8,145.1,164.69,1
AMC,17.12,18.81,20.24,1
AMD,122.83,130.3,134.94,1
AME,136.91,139.88,140.55,1
AMEZ,1.0,1.0,1.0,1
AMGN,228.61,232.49,234.35,1
AMP,304.86,312.25,327.22,1
AMZN,2948.36,3152.98,3218.13,1
ANET,120.78,126.41,129.04,1
ANSS,333.41,341.7,347.52,1
ANTM,444.1,449.27,448.17,1
AOS,78.27,80.18,80.34,1
APA,30.8,32.54,32.65,1
APD,285.94,288.9,291.18,1
APH,78.35,79.32,81.41,1
APTK,1.0,1.0,1.0,1
AQUA,39.51,37.78,38.37,1
ARSA,1.0,1.0,1.0,1
ASSB,1.0,1.0,1.0,1
ATO,105.09,105.96,105.55,1
ATVI,81.26,82.22,64.55,1
AVAN,9.83,9.83,9.83,1
AVGO,547.99,570.84,595.64,1
AVY,203.67,207.55,208.06,1
AWK,164.23,161.83,161.86,1
AXP,160.87,162.43,167.07,1
AYX,54.59,57.82,57.94,1
AZO,1942.8,1961.85,2025.0,1
BA,209.17,219.42,224.07,1
BAC,45.64,46.64,47.69,1
BANE,1.0,1.0,1.0,1
BANEP,1.0,1.0,1.0,1
BAX,86.4,86.17,84.98,1
BBBY,12.87,14.08,15.08,1
BBWI,54.57,56.17,55.13,1
BBY,97.1,100.31,99.78,1
BDX,266.32,264.52,261.58,1
BELU,1.0,1.0,1.0,1
BEN,32.17,33.91,35.05,1
BFB,1.0,1.0,1.0,1
BIIB,224.15,232.78,237.17,1
BIO,592.0,604.22,628.75,1
BISV,1.0,1.0,1.0,1
BISVP,1.0,1.0,1.0,1
BK,58.31,59.37,63.09,1
BKNG,2401.19,2398.33,2435.0,1
BKR,27.29,26.42,27.24,1
BLK,814.43,831.82,844.87,1
BLL,88.57,91.71,89.86,1
BLNG,9.74,9.74,9.74,1
BLUE,7.03,7.86,8.45,1
BMY,63.99,64.96,64.7,1
BNGO,2.24,2.38,2.52,1
BR,160.27,162.09,159.04,1
BRKB,1.0,1.0,1.0,1
BRZL,1.0,1.0,1.0,1
BSPB,1.0,1.0,1.0,1
BSPBP,1.0,1.0,1.0,1
BSX,43.27,44.33,44.4,1
BWA,44.47,46.87,49.56,1
BYND,62.18,64.04,65.17,1
C,64.07,64.3,66.81,1
CAG,35.39,35.61,34.94,1
CAH,51.08,52.38,52.79,1
CARR,48.57,49.25,50.92,1
CAT,216.36,223.04,228.23,1
CBOM,1.0,1.0,1.0,1
CDNS,150.55,154.99,160.96,1
CDW,187.62,190.95,190.03,1
CE,164.48,169.44,172.97,1
CERN,91.98,91.98,92.29,1
CF,66.15,67.79,66.17,1
CFG,51.3,54.53,55.85,1
CHD,103.28,103.56,104.08,1
CHEP,1.0,1.0,1.0,1
CHGZ,1.0,1.0,1.0,1
CHKZ,1.0,1.0,1.0,1
CHMF,1.0,1.0,1.0,1
CHMK,1.0,1.0,1.0,1
CHRW,106.16,108.05,107.79,1
CHTR,572.06,583.28,601.96,1
CI,239.5,239.73,240.47,1
CINF,115.74,116.26,119.31,1
CL,84.09,84.44,83.41,1
CLF,17.85,19.67,21.87,1
CLOV,2.63,2.85,3.0,1
CLX,178.96,182.11,186.63,1
CMA,91.11,97.74,99.88,1
CMCSA,50.14,50.47,51.45,1
CME,229.46,230.31,222.52,1
CMG,1394.99,1478.08,1482.99,1
CMI,226.28,231.25,236.37,1
CMS,64.05,63.46,63.79,1
CNC,78.19,77.8,79.44,1
CNK,15.76,16.58,17.24,1
CNP,27.73,27.41,27.45,1
CNTL,1.0,1.0,1.0,1
CNTLP,1.0,1.0,1.0,1
COF,147.77,152.31,159.35,1
COIN,196.63,223.5,224.43,1
COO,393.22,400.05,407.83,1
COP,83.62,87.43,85.95,1
COST,488.69,494.78,502.69,1
COTY,8.62,8.7,8.87,1
CPB,45.04,46.25,46.28,1
CPNG,18.98,20.76,20.89,1
CPRT,127.59,133.51,136.02,1
CRL,329.69,341.33,351.99,1
CRM,222.86,229.04,228.91,1
CSCO,57.23,59.13,61.32,1
CSX,34.53,35.25,36.35,1
CTAS,383.06,392.23,398.1,1
CTLT,102.31,104.15,107.52,1
CTRA,19.45,21.02,21.92,1
CTSH,85.86,86.39,86.85,1
CTVA,46.36,47.37,48.23,1
CTXS,102.37,104.7,95.62,1
CVS,102.12,103.71,105.74,1
CVX,127.94,129.37,128.49,1
CZR,75.01,78.83,82.06,1
D,79.87,79.28,79.07,1
DAL,38.44,38.96,40.02,1
DBX,24.09,24.73,23.92,1
DD,78.48,82.36,84.45,1
DE,368.98,377.75,376.62,1
DERZP,1.0,1.0,1.0,1
DFS,115.89,119.65,126.57,1
DG,212.5,220.89,216.09,1
DGX,137.63,139.6,141.8,1
DHI,89.65,91.94,97.92,1
DHR,281.13,288.96,290.57,1
DIOD,90.21,91.2,98.07,1
DIS,140.44,150.84,150.46,1
DISCA,26.58,28.55,30.8,1
DISH,32.42,34.46,36.22,1
DKNG,19.97,21.85,22.95,1
DLTR,127.17,132.6,129.65,1
DOV,175.87,178.65,177.44,1
DOW,57.53,59.72,60.23,1
DPZ,448.93,472.71,469.33,1
DRI,136.87,139.66,142.4,1
DSKY,1.0,1.0,1.0,1
DUK,103.51,102.25,104.0,1
DVA,110.2,110.46,115.62,1
DVEC,1.0,1.0,1.0,1
DVN,46.7,49.29,49.79,1
DXC,31.43,32.15,33.63,1
DXCM,427.28,443.43,446.53,1
DZRD,1.0,1.0,1.0,1
DZRDP,1.0,1.0,1.0,1
EA,138.86,137.69,129.91,1
EBAY,60.24,62.56,63.45,1
ECL,199.98,216.17,215.96,1
ED,82.81,82.39,83.19,1
EELT,1.0,1.0,1.0,1
EFX,230.19,236.49,249.64,1
EHTH,22.44,22.91,24.82,1
EIX,63.14,63.63,63.53,1
EL,300.0,313.59,320.87,1
ELTZ,1.0,1.0,1.0,1
EMN,122.33,127.73,126.78,1
EMR,94.47,95.68,97.01,1
ENPG,1.0,1.0,1.0,1
ENPH,130.43,136.29,141.2,1
ENRU,1.0,1.0,1.0,1
EOG,101.69,105.35,104.76,1
EQT,20.54,22.38,23.56,1
ES,87.78,87.33,87.09,1
ETR,110.39,110.65,110.94,1
ETSY,156.62,166.04,162.13,1
EVRG,64.51,65.14,65.82,1
EW,113.62,117.06,117.8,1
EXC,56.85,56.6,56.31,1
EXPD,117.77,120.37,121.08,1
EXPE,178.34,178.36,182.22,1
F,21.18,22.68,25.19,1
FANG,119.74,125.86,127.04,1
FAST,56.7,58.37,59.08,1
FB,312.5,323.53,330.32,1
FBHS,96.83,98.1,101.26,1
FCX,42.05,44.22,43.92,1
FDX,247.74,253.51,254.99,1
FE,41.85,41.58,41.51,1
FEES,1.0,1.0,1.0,1
FESH,1.0,1.0,1.0,1
FFIV,224.06,224.07,234.49,1
FIS,113.46,114.03,116.97,1
FISV,106.52,106.69,109.0,1
FITB,45.91,48.17,49.87,1
FLOT,50.71,50.72,50.71,1
FLT,231.9,238.59,244.42,1
FMC,110.51,111.75,113.78,1
FNKO,16.9,17.45,17.59,1
FOX,35.34,36.59,37.49,1
FSLR,77.83,82.22,81.75,1
FSLY,29.29,30.15,30.8,1
FTNT,300.66,312.17,311.05,1
FTV,71.79,72.53,72.24,1
GAZA,1.0,1.0,1.0,1
GAZAP,1.0,1.0,1.0,1
GAZC,1.0,1.0,1.0,1
GAZP,1.0,1.0,1.0,1
GAZS,1.0,1.0,1.0,1
GAZT,1.0,1.0,1.0,1
GCHE,1.0,1.0,1.0,1
GD,209.83,211.62,212.28,1
GE,97.54,100.97,102.43,1
GEMA,1.0,1.0,1.0,1
GEVO,3.42,3.83,4.05,1
GILD,68.48,69.53,71.54,1
GIS,68.96,69.3,69.7,1
GLW,35.49,36.23,37.06,1
GM,54.29,57.0,60.78,1
GMKN,1.0,1.0,1.0,1
GNRC,276.77,295.03,304.47,1
GOOG,2672.96,2750.12,2795.44,1
GPC,131.93,135.59,137.08,1
GPN,143.23,146.56,148.99,1
GPS,16.16,16.82,18.09,1
GS,345.56,347.92,378.04,1
GT,22.03,22.6,23.72,1
GTHX,8.97,9.35,9.86,1
GTRK,1.0,1.0,1.0,1
GTSS,1.0,1.0,1.0,1
GWW,499.48,500.21,498.81,1
HAL,27.76,28.33,28.61,1
HAS,96.64,99.5,99.26,1
HBAN,15.35,17.15,17.47,1
HBI,15.76,16.47,16.65,1
HCA,238.95,248.09,255.26,1
HD,354.17,362.59,372.62,1
HES,88.19,91.3,91.29,1
HIG,70.54,70.94,72.21,1
HII,194.07,194.78,196.94,1
HIMC,1.0,1.0,1.0,1
HIMCP,1.0,1.0,1.0,1
HLT,144.57,143.47,147.73,1
HOLX,70.4,70.51,69.17,1
HON,207.37,212.24,217.17,1
HOOD,13.19,14.2,14.93,1
HPE,16.39,16.84,17.42,1
HPQ,35.49,37.05,38.19,1
HRL,49.15,49.29,48.92,1
HRTX,8.65,8.53,8.35,1
HSIC,74.85,75.48,77.23,1
HSY,200.58,199.35,199.03,1
HUM,380.55,381.37,389.82,1
HWM,33.22,34.04,34.72,1
HYDR,16.46,16.9,17.97,1
IBM,131.0,132.41,133.67,1
ICE,127.3,126.5,125.9,1
IDXX,509.69,526.91,526.96,1
IEX,219.53,216.22,219.62,1
IFF,142.99,140.69,145.15,1
IGST,1.0,1.0,1.0,1
IGSTP,1.0,1.0,1.0,1
ILMN,377.17,390.94,404.02,1
INCY,75.24,75.21,74.18,1
INGR,99.04,101.09,100.65,1
INTC,52.85,54.0,55.45,1
INTU,541.49,552.47,549.5,1
IP,47.94,49.27,49.41,1
IPG,36.02,36.69,37.76,1
IPGP,150.32,155.9,160.16,1
IQV,244.96,242.88,244.29,1
IR,57.61,58.91,59.02,1
IRAO,1.0,1.0,1.0,1
IRGZ,1.0,1.0,1.0,1
IRKT,1.0,1.0,1.0,1
ISKJ,1.0,1.0,1.0,1
ISRG,273.2,297.18,306.69,1
IT,282.74,282.99,284.6,1
ITW,239.18,243.27,243.18,1
J,128.04,129.84,132.45,1
JBHT,201.97,201.56,200.73,1
JKHY,164.82,168.54,168.11,1
JNJ,166.16,167.32,167.64,1
JNOS,1.0,1.0,1.0,1
JNOSP,1.0,1.0,1.0,1
JNPR,33.1,33.75,34.42,1
JPM,147.01,149.56,157.17,1
K,66.54,66.79,67.56,1
KAZT,1.0,1.0,1.0,1
KAZTP,1.0,1.0,1.0,1
KBSB,1.0,1.0,1.0,1
KCHE,1.0,1.0,1.0,1
KCHEP,1.0,1.0,1.0,1
KD,16.8,17.01,17.9,1
KDP,38.41,38.53,39.11,1
KEY,25.2,25.94,26.83,1
KEYS,174.78,182.02,185.74,1
KGKC,1.0,1.0,1.0,1
KGKCP,1.0,1.0,1.0,1
KHC,37.25,37.42,38.06,1
KLAC,382.47,399.42,438.81,1
KLSB,1.0,1.0,1.0,1
KMAZ,1.0,1.0,1.0,1
KMB,143.35,143.07,143.17,1
KMEZ,1.0,1.0,1.0,1
KMI,17.45,17.5,17.77,1
KMTZ,1.0,1.0,1.0,1
KMX,106.63,108.71,112.84,1
KO,60.89,61.05,61.14,1
KOGK,1.0,1.0,1.0,1
KR,47.13,48.56,49.2,1
KRKN,1.0,1.0,1.0,1
KRKNP,1.0,1.0,1.0,1
KRKO,1.0,1.0,1.0,1
KRKOP,1.0,1.0,1.0,1
KROT,1.0,1.0,1.0,1
KROTP,1.0,1.0,1.0,1
KRSB,1.0,1.0,1.0,1
KRSBP,1.0,1.0,1.0,1
KSGR,1.0,1.0,1.0,1
KSU,293.94,293.94,1.0,1
KTSB,1.0,1.0,1.0,1
KTSBP,1.0,1.0,1.0,1
KUBE,1.0,1.0,1.0,1
KUZB,1.0,1.0,1.0,1
KZMS,1.0,1.0,1.0,1
KZOS,1.0,1.0,1.0,1
KZOSP,1.0,1.0,1.0,1
L,59.0,59.87,60.69,1
LAZR,13.75,13.72,17.21,1
LDOS,92.55,93.95,89.57,1
LEG,39.45,40.64,39.59,1
LEN,96.8,98.74,112.65,1
LENT,1.0,1.0,1.0,1
LH,273.18,273.97,299.1,1
LHX,224.59,229.04,223.32,1
LIFE,6.26,6.64,7.94,1
LKOH,1.0,1.0,1.0,1
LKQ,54.28,55.06,57.64,1
LLY,242.79,246.79,273.79,1
LMT,376.12,378.01,347.59,1
